,year,type,stage
0,1903,p1,1
1,1903,p4,2
2,1903,p1,3
3,1903,p1,4
4,1903,p1,5
5,1903,p1,6
6,1904,p0,1
7,1904,p0,2
8,1904,p0,3
9,1904,p0,4
10,1904,p0,5
11,1904,p0,6
12,1905,p0,1
13,1905,p0,2
14,1905,p0,3
15,1905,p0,4
16,1905,p0,5
17,1905,p0,6
18,1905,p0,7
19,1905,p0,8
20,1905,p0,9
21,1905,p0,10
22,1905,p0,11
23,1906,p0,1
24,1906,p0,2
25,1906,p0,3
26,1906,p0,4
27,1906,p0,5
28,1906,p0,6
29,1906,p0,7
30,1906,p0,8
31,1906,p0,9
32,1906,p0,10
33,1906,p0,11
34,1906,p0,12
35,1906,p0,13
36,1907,p1,1
37,1907,p1,2
38,1907,p4,3
39,1907,p4,4
40,1907,p4,5
41,1907,p4,6
42,1907,p1,7
43,1907,p1,8
44,1907,p1,9
45,1907,p1,10
46,1907,p1,11
47,1907,p1,12
48,1907,p1,13
49,1907,p1,14
50,1908,p0,1
51,1908,p0,2
52,1908,p0,3
53,1908,p0,4
54,1908,p0,5
55,1908,p0,6
56,1908,p0,7
57,1908,p0,8
58,1908,p0,9
59,1908,p0,10
60,1908,p0,11
61,1908,p0,12
62,1908,p0,13
63,1908,p0,14
64,1909,p0,1
65,1909,p0,2
66,1909,p0,3
67,1909,p0,4
68,1909,p0,5
69,1909,p0,6
70,1909,p0,7
71,1909,p0,8
72,1909,p0,9
73,1909,p0,10
74,1909,p0,11
75,1909,p0,12
76,1909,p0,13
77,1909,p0,14
78,1910,p1,1
79,1910,p1,2
80,1910,p4,3
81,1910,p4,4
82,1910,p4,5
83,1910,p4,6
84,1910,p1,7
85,1910,p1,8
86,1910,p4,9
87,1910,p4,10
88,1910,p1,11
89,1910,p1,12
90,1910,p1,13
91,1910,p1,14
92,1910,p1,15
93,1911,p1,1
94,1911,p1,2
95,1911,p4,3
96,1911,p4,4
97,1911,p4,5
98,1911,p4,6
99,1911,p4,7
100,1911,p1,8
101,1911,p4,9
102,1911,p4,10
103,1911,p1,11
104,1911,p1,12
105,1911,p1,13
106,1911,p1,14
107,1911,p1,15
108,1912,p0,1
109,1912,p0,2
110,1912,p0,3
111,1912,p0,4
112,1912,p0,5
113,1912,p0,6
114,1912,p0,7
115,1912,p0,8
116,1912,p0,9
117,1912,p0,10
118,1912,p0,11
119,1912,p0,12
120,1912,p0,13
121,1912,p0,14
122,1912,p0,15
123,1913,p1,1
124,1913,p1,2
125,1913,p1,3
126,1913,p1,4
127,1913,p1,5
128,1913,p4,6
129,1913,p4,7
130,1913,p1,8
131,1913,p4,9
132,1913,p4,10
133,1913,p4,11
134,1913,p4,12
135,1913,p4,13
136,1913,p1,14
137,1913,p1,15
138,1914,p1,1
139,1914,p1,2
140,1914,p1,3
141,1914,p1,4
142,1914,p1,5
143,1914,p4,6
144,1914,p4,7
145,1914,p1,8
146,1914,p4,9
147,1914,p4,10
148,1914,p4,11
149,1914,p4,12
150,1914,p4,13
151,1914,p1,14
152,1914,p1,15
153,1919,p1,1
154,1919,p1,2
155,1919,p1,3
156,1919,p1,4
157,1919,p1,5
158,1919,p4,6
159,1919,p4,7
160,1919,p1,8
161,1919,p4,9
162,1919,p4,10
163,1919,p4,11
164,1919,p4,12
165,1919,p1,13
166,1919,p1,14
167,1919,p1,15
168,1920,p1,1
169,1920,p1,2
170,1920,p1,3
171,1920,p1,4
172,1920,p1,5
173,1920,p4,6
174,1920,p4,7
175,1920,p1,8
176,1920,p4,9
177,1920,p4,10
178,1920,p4,11
179,1920,p1,12
180,1920,p1,13
181,1920,p1,14
182,1920,p1,15
183,1921,p1,1
184,1921,p1,2
185,1921,p1,3
186,1921,p1,4
187,1921,p1,5
188,1921,p4,6
189,1921,p4,7
190,1921,p1,8
191,1921,p4,9
192,1921,p4,10
193,1921,p4,11
194,1921,p1,12
195,1921,p1,13
196,1921,p1,14
197,1921,p1,15
198,1922,p1,1
199,1922,p1,2
200,1922,p1,3
201,1922,p1,4
202,1922,p1,5
203,1922,p4,6
204,1922,p4,7
205,1922,p1,8
206,1922,p4,9
207,1922,p4,10
208,1922,p4,11
209,1922,p1,12
210,1922,p1,13
211,1922,p1,14
212,1922,p1,15
213,1923,p1,1
214,1923,p1,2
215,1923,p1,3
216,1923,p1,4
217,1923,p1,5
218,1923,p4,6
219,1923,p4,7
220,1923,p1,8
221,1923,p4,9
222,1923,p4,10
223,1923,p4,11
224,1923,p1,12
225,1923,p1,13
226,1923,p1,14
227,1923,p1,15
228,1924,p0,1
229,1924,p0,2
230,1924,p0,3
231,1924,p0,4
232,1924,p0,5
233,1924,p0,6
234,1924,p0,7
235,1924,p0,8
236,1924,p0,9
237,1924,p0,10
238,1924,p0,11
239,1924,p0,12
240,1924,p0,13
241,1924,p0,14
242,1924,p0,15
243,1925,p1,1
244,1925,p1,2
245,1925,p1,3
246,1925,p1,4
247,1925,p1,5
248,1925,p1,6
249,1925,p1,7
250,1925,p4,8
251,1925,p4,9
252,1925,p1,10
253,1925,p1,11
254,1925,p4,12
255,1925,p4,13
256,1925,p4,14
257,1925,p4,15
258,1925,p1,16
259,1925,p1,17
260,1925,p1,18
261,1926,p1,1
262,1926,p1,2
263,1926,p1,3
264,1926,p1,4
265,1926,p1,5
266,1926,p1,6
267,1926,p1,7
268,1926,p1,8
269,1926,p1,9
270,1926,p4,10
271,1926,p4,11
272,1926,p1,12
273,1926,p1,13
274,1926,p4,14
275,1926,p4,15
276,1926,p1,16
277,1926,p1,17
278,1927,p1,1
279,1927,p1,2
280,1927,p1,3
281,1927,p1,4
282,1927,p1,5
283,1927,p1,6
284,1927,p1,7
285,1927,p1,8
286,1927,p1,9
287,1927,p1,10
288,1927,p4,11
289,1927,p4,12
290,1927,p1,13
291,1927,p1,14
292,1927,p4,15
293,1927,p4,16
294,1927,p4,17
295,1927,p1,18
296,1927,p1,19
297,1927,p1,20
298,1927,p1,21
299,1927,p1,22
300,1927,p1,23
301,1927,p1,24
302,1928,p1,1
303,1928,p1,2
304,1928,p1,3
305,1928,p1,4
306,1928,p1,5
307,1928,p1,6
308,1928,p1,7
309,1928,p1,8
310,1928,p4,9
311,1928,p4,10
312,1928,p1,11
313,1928,p4,12
314,1928,p4,13
315,1928,p4,14
316,1928,p1,15
317,1928,p1,16
318,1928,p1,17
319,1928,p1,18
320,1928,p1,19
321,1928,p1,20
